"school_id","school_name","year","long_name","primary_category","student_count_total","student_count_low_income","student_count_black","student_count_hispanic","student_count_white","student_count_asian","student_count_native_american","student_count_other_ethnicity","student_count_asian_pacific_islander","student_count_multi","student_count_hawaiian_pacific_islander","student_count_ethnicity_not_available","number_students_tested_ela","percent_did_not_meet_ela","percent_partially_met_ela","percent_approached_ela","percent_met_ela","percent_exceeded_ela","percent_met_or_exceeded_ela","number_students_tested_math","percent_did_not_meet_math","percent_partially_met_math","percent_approached_math","percent_met_math","percent_exceeded_math","percent_met_or_exceeded_math"
610521,"DAVIS M",2018,"Sir Miles Davis Magnet Elementary Academy","ES",237,227,216,20,0,0,0,0,0,1,0,0,168,21.4,26.8,28.6,22.6,0.6,23.2,165,17.6,28.5,33.3,20,0.6,20.6
400116,"MONTESSORI ENGLEWOOD",2018,"The Montessori School of Englewood Charter","ES",333,191,323,9,1,0,0,0,0,0,0,0,120,59.2,22.5,11.7,5.8,0.8,6.7,119,61.3,29.4,8.4,0.8,0,0.8
610200,"THORP J",2018,"James N Thorp Elementary School","ES",310,241,236,66,6,0,0,0,0,2,0,0,144,36.1,39.6,17.4,6.9,0,6.9,139,48.9,30.2,17.3,3.6,0,3.6
610089,"MURPHY",2018,"John B Murphy Elementary School","ES",544,325,17,397,95,15,2,0,0,17,1,0,319,12.5,25.1,30.1,29.5,2.8,32.3,323,18.6,30.3,30.3,19.2,1.5,20.7
609895,"TURNER-DREW",2018,"Turner-Drew Elementary Language Academy","ES",212,145,209,2,0,0,0,0,0,0,0,1,166,9,14.5,31.3,39.2,6,45.2,166,10.2,28.3,39.2,21.1,1.2,22.3
609960,"HALE",2018,"Nathan Hale Elementary School","ES",899,575,15,668,204,8,2,0,0,1,1,0,635,13.4,23.8,30.2,28.3,4.3,32.6,644,16.3,27.8,28.7,25.3,1.9,27.2
400112,"ACERO - IDAR",2018,"Acero Charter Schools - Jovita Idar","ES",564,453,2,561,0,0,1,0,0,0,0,0,382,8.4,17.8,31.7,40.1,2.1,42.1,382,9.4,29.1,33.8,27.2,0.5,27.7
610143,"REAVIS",2018,"William C Reavis Math & Science Specialty ES","ES",258,213,254,0,0,1,0,0,0,2,1,0,132,26.5,25.8,31.1,16.7,0,16.7,133,30.8,40.6,23.3,5.3,0,5.3
609863,"COLUMBUS",2018,"Christopher Columbus Elementary School","ES",267,171,19,65,171,3,0,0,0,8,0,1,164,9.1,12.8,35.4,36,6.7,42.7,173,6.4,20.2,41.6,29.5,2.3,31.8
610207,"VANDERPOEL",2018,"John H Vanderpoel Elementary Magnet School","ES",254,152,250,2,2,0,0,0,0,0,0,0,195,25.6,24.1,28.7,21,0.5,21.5,195,27.7,39.5,23.1,9.2,0.5,9.7
610157,"SAWYER",2018,"Sidney Sawyer Elementary School","ES",1460,1129,4,1435,16,0,4,0,0,1,0,0,1156,26,26.2,25.2,20.9,1.7,22.7,1160,29.7,31.4,23.7,14.1,1.1,15.2
609900,"CURTIS",2018,"George W Curtis Elementary School","ES",509,420,485,20,1,0,0,0,0,2,1,0,328,38.4,30.5,20.1,11,0,11,325,35.4,38.2,18.5,7.1,0.9,8
400159,"CHRISTOPHER HOUSE",2018,"Christopher House Charter School","ES",387,262,8,365,5,0,0,0,0,1,1,7,162,9.9,16,27.2,43.8,3.1,46.9,163,14.1,25.2,33.1,27.6,0,27.6
610218,"WARREN",2018,"Joseph Warren Elementary School","ES",216,140,215,1,0,0,0,0,0,0,0,0,139,18.7,30.9,25.9,22.3,2.2,24.5,139,20.9,38.8,25.2,14.4,0.7,15.1
609830,"BRUNSON",2018,"Milton Brunson Math & Science Specialty ES","ES",473,311,422,47,2,0,1,0,0,0,1,0,282,34.4,40.1,19.1,6,0.4,6.4,276,38.4,38.8,18.5,3.3,1.1,4.3
